Position,DriverName,CarNumber,Points
1,Jason Loosemore - Richards Bay Motorsport Promotions,15,60
2,Neville Loosemore - Richards Bay Motorsport Promotions,11,58
3,Seef Fourie - Ultimate Raceway,212,58
4,WB van Niekerk - Mokopane Raceway,68,53
5,Keogan Maartens - Richards Bay Motorsport Promotions,23,51
6,Ruan Nagel,126,50
7,WF Weideman,80,50
8,Edwin van Niekerk - Mokopane Raceway,62,49
9,Chris Landsberg - Richards Bay Motorsport Promotions,101,47
10,Rian van Niekerk - Mokopane Raceway,64,46
11,Dick Hillard - United Kingdom,31,42
12,Andre Johnson - Ultimate Raceway,117,41
13,Micheal Myburgh,27,41
14,Tollie Goosen - Ultimate Raceway,10,38
15,Dylan Paiva,89,30
16,Edwald Grobelaar,210,27
17,Rudy Myburgh - Richards Bay Motorsport Promotions,127,21
18,PJ Pieterse,44,18
19,Charl Taylor,99,15
20,Deon Beukman - Ultimate Raceway,852,0
21,Frankie Paiva,98,0
22,Johan Pitzer,46,0

