Date,HomeTeam,AwayTeam,Venue,Competition,KickOffTime
2026-06-20,South Africa,Barbarians,Nelson Mandela Bay Stadium,Friendly,15:00
2026-07-04,Japan,Italy,Prince Chichibu Memorial Stadium in Tokyo: Japan,Nations Championship 2026,10:40
2026-07-04,South Africa,England,Emirates Airline Park in Johannesburg: South Africa,Nations Championship 2026,17:40
2026-07-04,Australia,Ireland,Sydney Football Stadium in Sydney | Gadigal: Australia,Nations Championship 2026,12:10
2026-07-04,Fiji,Wales,Cardiff City Stadium in Cardiff: Wales,Nations Championship 2026,15:10
2026-07-04,Argentina,Scotland,Estadio Mario Alberto Kempes in Cordoba: Argentina,Nations Championship 2026,21:10
2026-07-04,New Zealand,France,One New Zealand Stadium in Christchurch: New Zealand,Nations Championship 2026,09:10
2026-07-11,South Africa,Scotland,Loftus Versfeld in Pretoria: South Africa,Nations Championship 2026,17:40
2026-07-11,Australia,France,Brisbane Stadium in Brisbane | Meeanjin: Australia,Nations Championship 2026,09:40
2026-07-11,Japan,Ireland,Newcastle Stadium in Newcastle | Awabakal-Worimi: Australia,Nations Championship 2026,12:10
2026-07-11,Fiji,England,Hill Dickinson Stadium in Liverpool: England,Nations Championship 2026,15:10
2026-07-11,Argentina,Wales,Estadio del Bicentenario in San Juan: Argentina,Nations Championship 2026,21:10
2026-07-11,New Zealand,Italy,Sky Stadium in Wellington: New Zealand,Nations Championship 2026,07:10
2026-07-18,New Zealand,Ireland,Eden Park in Auckland: New Zealand,Nations Championship 2026,09:10
2026-07-18,Japan,France,National Olympic Stadium in Tokyo: Japan,Nations Championship 2026,10:40
2026-07-18,South Africa,Wales,Hollywoodbets Kings Park in Durban: South Africa,Nations Championship 2026,17:40
2026-07-18,Australia,Italy,HBF Park in Perth | Boorloo: Australia,Nations Championship 2026,12:10
2026-07-18,Scotland,Fiji,Murrayfield in Edinburgh: Scotland,Nations Championship 2026,15:10
2026-07-18,Argentina,England,Estadio Único Madre de Ciudades in Santiago del Estero: Argentina,Nations Championship 2026,21:10
2026-08-07,Stormers,New Zealand,DHL Stadium in Cape Town: South Africa,Rugby's Greatest Rivalry Tour 2026,19:00
2026-08-11,Sharks,New Zealand,Kings Park Stadium in Durban: South Africa,Rugby's Greatest Rivalry Tour 2026,19:00
2026-08-15,Bulls,New Zealand,Loftus Versfeld in Pretoria: South Africa,Rugby's Greatest Rivalry Tour 2026,19:00
2026-08-22,South Africa,New Zealand,Ellis Park Stadium in Johannesburg: South Africa,Rugby's Greatest Rivalry Tour 2026 (First Test),17:00
2026-08-25,Lions,New Zealand,Ellis Park Stadium in Johannesburg: South Africa,Rugby's Greatest Rivalry Tour 2026,19:00
2026-08-29,South Africa,New Zealand,DHL Stadium in Cape Town: South Africa,Rugby's Greatest Rivalry Tour 2026 (Second Test),17:00
2026-09-05,South Africa,New Zealand,FNB Stadium in Johannesburg: South Africa,Rugby's Greatest Rivalry Tour 2026 (Third Test),17:00
2026-09-12,South Africa,New Zealand,M&T Bank Stadium in Baltimore: United States of America,Rugby's Greatest Rivalry Tour 2026 (Fourth Test),
2026-11-06,Ireland,Argentina,Aviva Stadium in Dublin: Ireland,Nations Championship 2026,22:10
2026-11-07,Italy,South Africa,Allianz Stadium in Turin: Italy,Nations Championship 2026,13:40
2026-11-07,Scotland,New Zealand,Murrayfield in Edinburgh: Scotland,Nations Championship 2026,16:10
2026-11-07,Wales,Japan,Principality Stadium in Cardiff: Wales,Nations Championship 2026,18:40
2026-11-07,France,Fiji,Groupama Stadium in Lyon: France,Nations Championship 2026,22:10
2026-11-08,England,Australia,Allianz Stadium in London: England,Nations Championship 2026,17:10
2026-11-13,France,South Africa,Stade de France in Saint-Denis: France,Nations Championship 2026,22:10
2026-11-14,Italy,Argentina,Stadio Luigi Ferraris in Genova: Italy,Nations Championship 2026,13:40
2026-11-14,Wales,New Zealand,Principality Stadium in Cardiff: Wales,Nations Championship 2026,16:10
2026-11-14,England,Japan,Allianz Stadium in London: England,Nations Championship 2026,18:40
2026-11-14,Ireland,Fiji,Aviva Stadium in Dublin: Ireland,Nations Championship 2026,22:10
2026-11-15,Scotland,Australia,Murrayfield in Edinburgh: Scotland,Nations Championship 2026,17:10
2026-11-21,England,New Zealand,Allianz Stadium in London: England,Nations Championship 2026,16:10
2026-11-21,Scotland,Japan,Murrayfield in Edinburgh: Scotland,Nations Championship 2026,16:10
2026-11-21,Ireland,South Africa,Aviva Stadium in Dublin: Ireland,Nations Championship 2026,18:40
2026-11-21,Italy,Fiji,Bluenergy Stadium in Udine: Italy,Nations Championship 2026,18:40
2026-11-21,France,Argentina,Stade de France in Saint-Denis: France,Nations Championship 2026,22:10
2026-11-21,Wales,Australia,Principality Stadium in Cardiff: Wales,Nations Championship 2026,22:10
