Date,HomeTeam,HomeScore,AwayScore,AwayTeam,Competition,KickOffTimeSAST
2026-07-11,Argentina,0,0,Wales,Nations Championship 2026,21:10
2026-07-11,South Africa,0,0,Scotland,Nations Championship 2026,17:40
2026-07-11,Fiji,0,0,England,Nations Championship 2026,15:10
2026-07-11,Japan,0,0,Ireland,Nations Championship 2026,12:10
2026-07-11,Australia,0,0,France,Nations Championship 2026,09:40
2026-07-11,New Zealand,0,0,Italy,Nations Championship 2026,07:10
2026-07-04,Argentina,38,47,Scotland,Nations Championship 2026,21:10
2026-07-04,South Africa,45,21,England,Nations Championship 2026,17:40
2026-07-04,Fiji,24,39,Wales,Nations Championship 2026,15:10
2026-07-04,Australia,31,33,Ireland,Nations Championship 2026,12:10
2026-07-04,Japan,27,10,Italy,Nations Championship 2026,10:40
2026-07-04,New Zealand,34,32,France,Nations Championship 2026,09:10
2026-06-20,South Africa,80,31,Barbarians,WORLD: Friendly International,17:00
2026-04-10,Croatia,17,33,Mexico,Test Match,
